geoid,name,PctBachHigher,MedHHIncome,PctTravel60MinMore
05000US13011,"Banks County, GA",11.9,40162,10.3
05000US13013,"Barrow County, GA",16.6,51202,16
05000US13015,"Bartow County, GA",16.2,49543,10.9
05000US13017,"Ben Hill County, GA",10.4,29162,4.5
05000US13019,"Berrien County, GA",11.8,31506,7.2
05000US13021,"Bibb County, GA",22.8,37920,4.1
05000US13023,"Bleckley County, GA",13.5,37853,7.4
05000US13025,"Brantley County, GA",6.1,37374,9.7
05000US13027,"Brooks County, GA",12.6,35284,3.5
05000US13029,"Bryan County, GA",29.4,63818,4.7
05000US13031,"Bulloch County, GA",26.9,34403,7.7
05000US13033,"Burke County, GA",9.4,31597,7.5
05000US13035,"Butts County, GA",9.0,50722,15
05000US13037,"Calhoun County, GA",12.0,30042,4.1
05000US13039,"Camden County, GA",18.8,54155,3.8
05000US13043,"Candler County, GA",15.1,35833,6
05000US13045,"Carroll County, GA",18.8,46704,12.2
05000US13047,"Catoosa County, GA",17.8,46143,2.6
05000US13049,"Charlton County, GA",9.9,39511,8.6
05000US13051,"Chatham County, GA",30.3,45653,2.6
05000US13053,"Chattahoochee County, GA",28.1,48684,1.4
05000US13055,"Chattooga County, GA",8.2,32825,4.1
05000US13057,"Cherokee County, GA",34.6,67928,14.9
05000US13059,"Clarke County, GA",40.8,33846,5
05000US13061,"Clay County, GA",9.2,22582,12.3
05000US13063,"Clayton County, GA",17.5,42569,11.1
05000US13065,"Clinch County, GA",15.0,33967,4.9
05000US13067,"Cobb County, GA",43.8,65180,9.8
05000US13069,"Coffee County, GA",11.3,35583,4.9
05000US13071,"Colquitt County, GA",13.3,33186,6.6
05000US13073,"Columbia County, GA",34.7,67295,5.5
05000US13075,"Cook County, GA",11.9,35983,3.8
05000US13077,"Coweta County, GA",26.1,60675,12
05000US13079,"Crawford County, GA",12.6,39403,6.1
05000US13081,"Crisp County, GA",13.7,32320,4.6
05000US13083,"Dade County, GA",16.9,41677,6.8
05000US13085,"Dawson County, GA",23.5,53289,14.7
05000US13087,"Decatur County, GA",13.9,30061,7.5
05000US13089,"DeKalb County, GA",39.2,51252,10.4
05000US13091,"Dodge County, GA",14.0,36042,9.8
05000US13093,"Dooly County, GA",9.7,30789,5.1
05000US13095,"Dougherty County, GA",18.1,31789,3
05000US13097,"Douglas County, GA",24.8,54526,13.9
05000US13099,"Early County, GA",12.1,29772,5.1
05000US13101,"Echols County, GA",7.5,27933,7
05000US13103,"Effingham County, GA",16.9,62953,6.4
05000US13105,"Elbert County, GA",11.2,35053,4.4
05000US13107,"Emanuel County, GA",9.9,31675,9.2
05000US13109,"Evans County, GA",13.7,36602,9
05000US13111,"Fannin County, GA",15.4,35446,11.5
05000US13113,"Fayette County, GA",42.1,81242,10.3
05000US13115,"Floyd County, GA",18.2,41442,5.7
05000US13117,"Forsyth County, GA",43.3,87585,11.5
05000US13119,"Franklin County, GA",13.5,32179,5.5
05000US13121,"Fulton County, GA",48.4,57664,7.8
05000US13123,"Gilmer County, GA",14.5,37257,14
05000US13125,"Glascock County, GA",9.3,32346,9
05000US13127,"Glynn County, GA",25.8,49986,4.3
05000US13129,"Gordon County, GA",13.9,40661,5.1
05000US13131,"Grady County, GA",10.7,32206,11
05000US13133,"Greene County, GA",19.4,40728,10.3
05000US13135,"Gwinnett County, GA",34.5,61944,13.2
05000US13137,"Habersham County, GA",17.9,41894,6.5
05000US13139,"Hall County, GA",22.1,52174,8.3
05000US13141,"Hancock County, GA",11.0,22716,5
05000US13143,"Haralson County, GA",12.4,39227,15.2
05000US13145,"Harris County, GA",28.2,68816,6.5
05000US13147,"Hart County, GA",15.7,35647,7.7
05000US13149,"Heard County, GA",7.4,39947,19.4
05000US13151,"Henry County, GA",25.0,62377,14.1
05000US13153,"Houston County, GA",24.8,56265,2.6
05000US13155,"Irwin County, GA",7.9,38770,4
05000US13157,"Jackson County, GA",18.7,53393,9.2
05000US13159,"Jasper County, GA",14.3,43768,21.4
05000US13161,"Jeff Davis County, GA",11.4,35203,5.5
05000US13163,"Jefferson County, GA",8.7,27612,5.6
05000US13165,"Jenkins County, GA",13.8,27039,11.9
05000US13167,"Johnson County, GA",11.9,34521,9.1
05000US13169,"Jones County, GA",19.4,53085,4.6
05000US13171,"Lamar County, GA",12.7,39224,15.9
05000US13173,"Lanier County, GA",12.8,41867,4.4
05000US13175,"Laurens County, GA",15.5,35912,6.5
05000US13177,"Lee County, GA",19.1,58400,4
05000US13179,"Liberty County, GA",17.7,44295,6.2
05000US13181,"Lincoln County, GA",11.4,34347,17.1
05000US13183,"Long County, GA",11.8,40044,10.7
05000US13185,"Lowndes County, GA",22.3,38348,2.5
05000US13187,"Lumpkin County, GA",22.8,44595,12.1
05000US13189,"McDuffie County, GA",13.3,38855,6.4
05000US13191,"McIntosh County, GA",14.6,39506,5.5
05000US13193,"Macon County, GA",9.8,30906,4.3
05000US13195,"Madison County, GA",13.4,41404,5.5
05000US13197,"Marion County, GA",8.4,33875,12.2
05000US13199,"Meriwether County, GA",9.8,37660,11.4
05000US13201,"Miller County, GA",10.6,32432,5.8
05000US13205,"Mitchell County, GA",9.6,32838,4.2
05000US13207,"Monroe County, GA",18.7,47323,9.7
05000US13209,"Montgomery County, GA",15.6,33569,6.1
05000US13211,"Morgan County, GA",22.3,44908,9.8
05000US13213,"Murray County, GA",8.3,36928,4.8
05000US13215,"Muscogee County, GA",22.1,41443,2.9
05000US13217,"Newton County, GA",19.1,51336,17
05000US13219,"Oconee County, GA",44.1,77571,7.7
05000US13221,"Oglethorpe County, GA",18.2,42428,7
05000US13223,"Paulding County, GA",23.0,63190,21.2
05000US13225,"Peach County, GA",18.4,41488,3.1
05000US13227,"Pickens County, GA",22.0,50829,13.6
05000US13229,"Pierce County, GA",10.1,39326,10.1
05000US13231,"Pike County, GA",16.6,56658,19.3
05000US13233,"Polk County, GA",11.4,38861,10.5
05000US13235,"Pulaski County, GA",7.8,34659,3.9
05000US13237,"Putnam County, GA",18.8,40115,10.6
05000US13239,"Quitman County, GA",5.6,32750,0.7
05000US13241,"Rabun County, GA",25.9,32995,8.5
